rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,spinal cord radial glial cell,ENSG00000116729,5.405831,3.5839682,6.450868402509116e-08,0.0005839809754477881,13.798942,1.6636232,1.0,0.52150416,3.0521572,0.9505046,12,7.656674706175108e-05
2,spinal cord radial glial cell,ENSG00000111783,5.3927565,6.5657115,6.938493617350352e-08,0.0005839809754477881,6.7033653,0.17152256,0.9166667,0.042038362,5.2884154,0.949415,12,7.656674706175108e-05
3,spinal cord radial glial cell,ENSG00000178568,5.3774905,4.9501534,7.553119496544312e-08,0.0005839809754477881,15.724516,1.3354502,1.0,0.14585806,3.5576177,0.94814277,12,7.656674706175108e-05
4,spinal cord radial glial cell,ENSG00000164434,5.3717446,6.6415377,7.797849852420726e-08,0.0005839809754477881,13.095686,0.25655,0.9166667,0.06784333,5.6737075,0.94766396,12,7.656674706175108e-05
5,spinal cord radial glial cell,ENSG00000091592,5.290144,5.10519,1.2222014658227196e-07,0.0007322453422037077,18.011984,0.64704573,0.9166667,0.32676086,4.7989454,0.9408636,12,7.656674706175108e-05
6,spinal cord radial glial cell,ENSG00000146242,5.218478,4.716585,1.8039928150006825e-07,0.0007719684504224818,18.667526,1.2682146,0.9166667,0.36662966,3.87966,0.9348909,12,7.656674706175108e-05
7,spinal cord radial glial cell,ENSG00000145147,5.198988,4.142146,2.0037644706521648e-07,0.0007719684504224818,16.062603,1.6963947,1.0,0.30688387,3.243162,0.933267,12,7.656674706175108e-05
8,spinal cord radial glial cell,ENSG00000163132,5.193695,4.166738,2.0616062235878806e-07,0.0007719684504224818,38.46942,3.0493047,1.0,0.52958256,3.6571598,0.93282586,12,7.656674706175108e-05
9,spinal cord radial glial cell,ENSG00000196220,5.0352445,3.7692857,4.772398482774971e-07,0.0015884663216667449,3.6219087,0.4007445,0.9166667,0.21726201,3.1759956,0.91962135,12,7.656674706175108e-05
10,spinal cord radial glial cell,ENSG00000233101,4.976388,8.619392,6.478176294299063e-07,0.0019406024907202275,7.7246385,0.030888788,0.8333333,0.011913422,7.9662404,0.9147162,12,7.656674706175108e-05
