rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,vein endothelial cell,ENSG00000110799,38.604794,7.107824,0.0,0.0,12.7615185,0.1769064,0.98285717,0.06737473,6.17267,0.9871929,525,0.0033497951839516096
2,vein endothelial cell,ENSG00000112414,37.70042,6.6236835,0.0,0.0,6.7174635,0.12687716,0.96761906,0.047202002,5.7264123,0.9757797,525,0.0033497951839516096
3,vein endothelial cell,ENSG00000027075,37.32901,5.93294,5.554986560093429e-305,5.546839246471959e-301,7.806518,0.27855685,0.9752381,0.076164685,4.8086357,0.9710925,525,0.0033497951839516096
4,vein endothelial cell,ENSG00000064042,37.11786,5.5251737,1.4473245411619664e-301,1.0839013488761966e-297,9.51569,0.44160795,0.9771429,0.1221439,4.42947,0.9684278,525,0.0033497951839516096
5,vein endothelial cell,ENSG00000078596,36.98464,5.583379,2.022230814611955e-299,1.2115589256503146e-295,55.73377,4.119855,0.992381,0.44723785,3.7578864,0.9667465,525,0.0033497951839516096
6,vein endothelial cell,ENSG00000170011,36.937157,6.2067175,1.1709741816759393e-298,5.84628376438074e-295,7.79481,0.21760957,0.95809525,0.06620956,5.1626997,0.96614736,525,0.0033497951839516096
7,vein endothelial cell,ENSG00000106991,36.93,4.6802826,1.525543081825547e-298,6.52845265130944e-295,6.6713448,0.4652993,0.9752381,0.19678491,3.8417466,0.966057,525,0.0033497951839516096
8,vein endothelial cell,ENSG00000088387,36.747944,5.108526,1.2538810746815114e-295,4.695157684144919e-292,6.376768,0.33945203,0.9714286,0.13346906,4.231546,0.9637595,525,0.0033497951839516096
9,vein endothelial cell,ENSG00000184113,36.540855,5.8168225,2.4912382483333065e-292,8.291948107452504e-289,33.897354,2.3203464,0.9847619,0.2069769,3.8687606,0.96114606,525,0.0033497951839516096
10,vein endothelial cell,ENSG00000085276,36.52324,5.025514,4.744169516580405e-292,1.4211634203868261e-288,8.823621,0.6870578,0.9866667,0.1508249,3.6828675,0.9609237,525,0.0033497951839516096
