rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,tip cell,ENSG00000172889,41.338707,5.0026793,0.0,0.0,15.8546715,1.2085284,0.9969088,0.26028484,3.7135847,0.9701255,647,0.004128223779079412
2,tip cell,ENSG00000131477,40.992954,3.9513597,0.0,0.0,16.00713,1.8619809,0.98918086,0.45856264,3.1038046,0.96619344,647,0.004128223779079412
3,tip cell,ENSG00000102755,40.706482,5.8521266,0.0,0.0,8.425961,0.4905656,0.9721793,0.058912475,4.102323,0.9629355,647,0.004128223779079412
4,tip cell,ENSG00000163762,40.640797,6.183607,0.0,0.0,5.5011563,0.13599321,0.9459042,0.055901177,5.3381286,0.9621885,647,0.004128223779079412
5,tip cell,ENSG00000102760,40.629982,4.768436,0.0,0.0,18.870516,1.2149305,0.97527045,0.31903076,3.9571881,0.9620655,647,0.004128223779079412
6,tip cell,ENSG00000127920,39.636276,3.8374665,0.0,0.0,9.971445,1.0715252,0.9613601,0.3910712,3.2181368,0.9507645,647,0.004128223779079412
7,tip cell,ENSG00000078596,39.44613,4.973806,0.0,0.0,38.975063,4.1489754,0.9799073,0.44686344,3.2317243,0.94860214,647,0.004128223779079412
8,tip cell,ENSG00000188643,38.953426,5.1558204,0.0,0.0,5.2054777,0.2555025,0.92272025,0.10931644,4.3486214,0.9429988,647,0.004128223779079412
9,tip cell,ENSG00000164120,38.947655,6.1638055,0.0,0.0,9.896826,0.21042478,0.9088099,0.08979427,5.555589,0.9429332,647,0.004128223779079412
10,tip cell,ENSG00000174059,38.94592,5.7814617,0.0,0.0,3.4887667,0.10230324,0.91344666,0.047610506,5.0917935,0.9429134,647,0.004128223779079412
