rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,mast cell,ENSG00000075884,14.803906,6.889119,1.3821684324195838e-49,4.140423756156105e-45,8.899138,0.13201328,0.9746835,0.04988286,6.0749106,0.9809313,79,0.000504064418156528
2,mast cell,ENSG00000111348,14.413106,5.736822,4.2802000476099506e-47,6.410883631310184e-43,9.078968,0.3286328,0.96202534,0.108888134,4.78798,0.9682355,79,0.000504064418156528
3,mast cell,ENSG00000179348,13.89054,7.769665,7.228830903747008e-44,7.218228618421513e-40,10.216933,0.058362022,0.9113924,0.036355626,7.4517164,0.95125896,79,0.000504064418156528
4,mast cell,ENSG00000128340,13.868518,7.092031,9.828679285514384e-44,7.360697916921721e-40,4.7118497,0.048347402,0.9113924,0.028695092,6.6067114,0.9505435,79,0.000504064418156528
5,mast cell,ENSG00000122862,13.6585865,5.6508884,1.7943175512150883e-42,1.0750115312839837e-38,16.97196,0.8561387,0.9493671,0.09778036,4.3091645,0.94372356,79,0.000504064418156528
6,mast cell,ENSG00000104894,13.102975,5.50464,3.166015478800765e-39,1.5806859947159286e-35,3.3108628,0.13270263,0.886076,0.04767407,4.6409383,0.9256735,79,0.000504064418156528
7,mast cell,ENSG00000089327,13.059686,5.13426,5.595861636405953e-39,2.3947090168596675e-35,3.6065786,0.15214327,0.886076,0.08092718,4.5671287,0.9242672,79,0.000504064418156528
8,mast cell,ENSG00000164506,13.023187,4.843864,9.032145826218466e-39,3.382087004627504e-35,7.3822546,0.298387,0.89873415,0.1844721,4.628805,0.92308146,79,0.000504064418156528
9,mast cell,ENSG00000185052,12.863667,4.729206,7.207511417866226e-38,2.398980133706674e-34,12.357543,0.6241342,0.9113924,0.20520662,4.307392,0.91789913,79,0.000504064418156528
10,mast cell,ENSG00000130755,12.821625,4.299272,1.2407335726743743e-37,3.7167414903033556e-34,3.8059947,0.32881442,0.9113924,0.12270902,3.5329282,0.91653335,79,0.000504064418156528
