rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,smooth muscle cell,ENSG00000149591,58.680126,6.736287,0.0,0.0,63.64943,1.3882849,0.97265625,0.24075241,5.518772,0.9754201,1280,0.008167119686586783
2,smooth muscle cell,ENSG00000107796,56.32617,9.32744,0.0,0.0,65.517235,0.13616613,0.91875,0.0556206,8.910363,0.95634866,1280,0.008167119686586783
3,smooth muscle cell,ENSG00000122786,55.454464,3.5064213,0.0,0.0,29.438282,4.451834,0.978125,0.62755555,2.7252216,0.9492861,1280,0.008167119686586783
4,smooth muscle cell,ENSG00000101335,55.361282,4.7787786,0.0,0.0,17.635065,0.8516001,0.940625,0.33560207,4.372127,0.9485312,1280,0.008167119686586783
5,smooth muscle cell,ENSG00000198467,53.843834,3.795979,0.0,0.0,20.722322,2.0348473,0.95,0.51895833,3.3481932,0.936237,1280,0.008167119686586783
6,smooth muscle cell,ENSG00000134871,53.84305,3.5122437,0.0,0.0,23.718075,4.2374983,0.9867188,0.5459388,2.484702,0.9362306,1280,0.008167119686586783
7,smooth muscle cell,ENSG00000213949,52.28138,5.0106287,0.0,0.0,9.273874,0.4594939,0.8953125,0.16744721,4.3350544,0.9235782,1280,0.008167119686586783
8,smooth muscle cell,ENSG00000187498,52.077602,3.6574552,0.0,0.0,24.817135,3.9779036,0.9703125,0.5033324,2.6412563,0.92192715,1280,0.008167119686586783
9,smooth muscle cell,ENSG00000187479,50.449806,4.4181867,0.0,0.0,13.808753,1.1383381,0.91328126,0.23265314,3.6005821,0.908739,1280,0.008167119686586783
10,smooth muscle cell,ENSG00000122545,50.203804,2.316153,0.0,0.0,16.848516,4.2960753,0.95234376,0.7628694,1.9715304,0.9067458,1280,0.008167119686586783
