rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,Schwann cell precursor,ENSG00000160307,73.55617,7.1689577,0.0,0.0,15.343362,0.2415748,0.93686163,0.061628237,5.989001,0.96069354,2154,0.01374373109758432
2,Schwann cell precursor,ENSG00000164106,71.58671,6.937572,0.0,0.0,5.869375,0.07510791,0.90761375,0.04081593,6.2880983,0.94835854,2154,0.01374373109758432
3,Schwann cell precursor,ENSG00000071991,70.4112,8.17757,0.0,0.0,6.0272555,0.051886503,0.8890436,0.008914939,6.859998,0.94099617,2154,0.01374373109758432
4,Schwann cell precursor,ENSG00000167614,68.5743,5.0810137,0.0,0.0,5.434019,0.35554612,0.9085423,0.095392436,3.933911,0.92949134,2154,0.01374373109758432
5,Schwann cell precursor,ENSG00000106278,66.134445,5.6494136,0.0,0.0,4.529704,0.14997195,0.85979575,0.05482882,4.916652,0.91421014,2154,0.01374373109758432
6,Schwann cell precursor,ENSG00000151914,65.20573,3.8072467,0.0,0.0,7.107536,0.6688145,0.91457754,0.29879928,3.4096715,0.90839344,2154,0.01374373109758432
7,Schwann cell precursor,ENSG00000107874,64.09396,3.1809864,0.0,0.0,7.276669,0.9061537,0.92432684,0.46073028,3.0054505,0.9014303,2154,0.01374373109758432
8,Schwann cell precursor,ENSG00000122406,63.6247,2.1370728,0.0,0.0,65.34262,20.082903,0.99535745,0.8965078,1.7020565,0.89849126,2154,0.01374373109758432
9,Schwann cell precursor,ENSG00000158887,63.368816,7.277706,0.0,0.0,5.2368107,0.09054341,0.8045497,0.01583728,5.853935,0.8968886,2154,0.01374373109758432
10,Schwann cell precursor,ENSG00000134532,61.59531,3.598185,0.0,0.0,7.005549,0.9577754,0.9141133,0.24080688,2.8707387,0.8857809,2154,0.01374373109758432
