rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,interneuron,ENSG00000137285,24.53224,5.071404,6.6924114747439395e-133,2.0047787813742943e-128,37.42141,1.9550036,0.97021276,0.40570384,4.2586207,0.96231705,235,0.001499432129959292
2,interneuron,ENSG00000104435,24.39751,8.013484,1.8174623962248644e-131,2.7221951770656017e-127,29.509113,0.49136084,0.9361702,0.03733761,5.908234,0.959778,235,0.001499432129959292
3,interneuron,ENSG00000167552,24.304453,4.0476403,1.75897402414221e-130,1.7563941955734682e-126,117.21376,9.833594,0.9957447,0.8134142,3.5752792,0.95802426,235,0.001499432129959292
4,interneuron,ENSG00000179915,24.289698,6.7313323,2.518868208648852e-130,1.886380401457125e-126,19.048576,0.4635806,0.94468087,0.06533283,5.360719,0.9577462,235,0.001499432129959292
5,interneuron,ENSG00000078018,23.962336,4.8212132,6.872602461624247e-127,4.1175135868083186e-123,9.568176,0.5633108,0.94893616,0.21548204,4.086241,0.951577,235,0.001499432129959292
6,interneuron,ENSG00000131711,23.879278,3.8270745,5.028842624701319e-126,2.5107334944258783e-122,24.043327,2.4046307,0.9744681,0.5698922,3.3217494,0.95001173,235,0.001499432129959292
7,interneuron,ENSG00000066032,23.791983,6.8185873,4.043113503716144e-125,1.7302215445331546e-121,11.914095,0.18161422,0.9148936,0.054527096,6.0356483,0.94836664,235,0.001499432129959292
8,interneuron,ENSG00000139970,22.691847,5.991228,5.392611172941357e-114,2.019263253707891e-110,13.075368,0.35833138,0.8851064,0.120045245,5.1894135,0.92763424,235,0.001499432129959292
9,interneuron,ENSG00000176788,22.606005,3.1946907,3.7827223465577305e-113,1.2590581179275932e-109,20.605207,3.6786628,0.9744681,0.61070603,2.4857557,0.9260166,235,0.001499432129959292
10,interneuron,ENSG00000149294,22.574331,4.21365,7.747198052033213e-113,2.3207506484670694e-109,8.419087,0.6734996,0.9191489,0.2628202,3.643915,0.9254197,235,0.001499432129959292
